Empresa,Año,Mes,T2M,WS10M,CLOUD_AMT,RH2M,T2M_MAX,T2M_MIN,CLOUD_OD,GWETROOT,TS,PRECTOTCORR,ALLSKY_SFC_SW_DWN,PS,T2MWET,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_LW_DWN
COOPESANTOS,2020,7,21.18,0.8,82.185,87.53,26.74,17.01,6.45,0.97,21.52,9.31,4.6439,90.08,19.98,2.4894,9.299050000000001
COOPESANTOS,2020,8,21.45,0.9,83.93,89.04,27.39,16.86,7.68,0.97,21.84,10.96,4.49385,90.08,20.37,2.4114,9.336500000000001
COOPESANTOS,2020,9,21.2,0.91,82.81,89.47,26.04,17.29,6.605,0.98,21.55,11.76,4.8894,90.07,20.16,2.36355,9.32855
COOPESANTOS,2020,10,21.18,1.1,85.155,91.05,26.28,18.48,7.115,0.99,21.57,12.37,4.356450000000001,90.01,20.32,2.22265,9.3047
COOPESANTOS,2020,11,20.69,1.09,81.005,92.06,25.64,17.59,6.585,0.99,21.16,13.67,3.9576,90.03,19.92,1.94685,9.2387
COOPESANTOS,2020,12,20.55,0.96,59.53,86.32,24.88,16.12,5.23,0.96,20.74,11.02,4.6453,90.07,19.25,1.6193,9.0626
COOPESANTOS,2021,1,20.43,1.1,52.88,83.28,25.01,15.05,4.5,0.93,20.6,2.89,5.03835,90.03,18.85,1.80375,8.95105
COOPESANTOS,2021,2,21.15,1.15,52.925,81.37,26.33,16.16,4.455,0.77,21.44,1.41,5.56035,90.06,19.34,1.88545,9.1354
COOPESANTOS,2021,3,21.47,1.27,49.3,75.57,27.56,14.95,5.02,0.69,21.66,5.19,6.01465,90.08,18.96,1.8998,9.0511
COOPESANTOS,2021,4,21.74,1.0,82.13499999999999,84.57,27.74,16.06,6.959999999999999,0.78,22.13,11.04,5.034800000000001,90.03,20.22,2.3219,9.42155
COOPESANTOS,2021,5,21.72,0.85,84.08000000000001,87.93,27.1,17.3,7.390000000000001,0.9,22.08,9.83,4.56945,90.11,20.56,2.3695500000000003,9.4393
COOPESANTOS,2021,6,21.48,0.8,82.67,88.85,26.27,16.98,6.08,0.94,21.94,9.75,4.818849999999999,90.15,20.39,2.39005,9.303149999999999
COOPESANTOS,2021,7,21.62,0.75,83.08500000000001,88.11,26.73,18.61,7.63,0.96,21.96,13.25,4.43835,90.14,20.48,2.2914000000000003,9.32955
COOPESANTOS,2021,8,21.06,0.8,90.685,90.8,25.8,17.86,7.305,0.99,21.53,13.87,4.526400000000001,90.14,20.16,2.583,9.33275
COOPESANTOS,2021,9,21.27,0.77,84.42,89.11,26.14,18.65,6.585,0.99,21.63,11.6,4.7075,90.12,20.22,2.29275,9.317799999999998
COOPESANTOS,2021,10,21.25,0.82,81.28999999999999,90.73,26.12,18.24,5.805,0.98,21.63,10.84,4.44015,90.07,20.33,2.27795,9.3228
COOPESANTOS,2021,11,20.7,0.74,72.185,86.2,25.6,16.92,5.695,0.95,20.9,6.33,4.3045,90.09,19.37,1.875,9.213750000000001
COOPESANTOS,2021,12,20.9,0.78,59.41,85.65,25.31,17.55,5.155,0.91,21.01,4.01,4.5516000000000005,90.06,19.55,1.75605,9.1326
COOPESANTOS,2022,1,20.42,1.16,46.855000000000004,80.1,25.44,16.36,4.02,0.78,20.59,0.95,5.498049999999999,90.12,18.51,1.6661000000000001,8.9651
COOPESANTOS,2022,2,20.97,1.36,41.16,72.45,27.53,14.79,4.53,0.66,21.07,1.36,5.964499999999999,90.09,18.1,1.6787999999999998,8.917300000000001
COOPESANTOS,2022,3,21.9,1.04,51.5,75.01,28.52,16.06,4.65,0.66,22.11,5.43,6.1741,90.08,19.28,2.01925,9.1784
COOPESANTOS,2022,4,21.96,0.86,81.82499999999999,83.35,28.13,18.56,5.91,0.71,22.35,8.29,5.09365,90.01,20.28,2.367,9.7387
COOPESANTOS,2022,5,21.72,0.86,86.795,90.26,26.78,18.53,8.035,0.84,22.21,9.19,4.44525,90.07,20.76,2.2757,9.776499999999999
COOPESANTOS,2022,6,20.69,1.08,90.66499999999999,91.85,25.89,17.56,8.19,0.94,21.23,13.63,4.343999999999999,90.09,19.91,2.35405,9.675149999999999
COOPESANTOS,2022,7,21.3,0.81,85.59,89.48,26.1,17.34,7.1850000000000005,0.98,21.63,9.48,4.3698,90.1,20.29,2.3485,9.70815
COOPESANTOS,2022,8,21.21,0.83,85.97,88.76,26.3,17.44,7.1850000000000005,0.97,21.6,7.88,4.7218,90.09,20.11,2.4045500000000004,9.68975
COOPESANTOS,2022,9,21.2,1.02,86.57499999999999,90.85,26.87,18.42,6.975,0.98,21.69,11.25,4.65735,90.08,20.31,2.35635,9.67895
COOPESANTOS,2022,10,20.99,0.91,82.62,91.6,25.89,17.87,6.4350000000000005,0.99,21.39,11.4,4.2029,90.08,20.17,2.17425,9.6738
COOPESANTOS,2022,11,20.69,0.95,83.44,91.36,25.92,17.18,7.835,0.98,21.01,9.45,3.69995,90.04,19.86,1.9309500000000002,9.6798
COOPESANTOS,2022,12,20.65,0.93,54.905,83.98,25.04,16.59,4.695,0.93,20.68,3.32,4.6631,90.07,19.13,1.6319,9.411
COOPESANTOS,2023,1,20.56,1.15,49.785,82.85,25.39,15.58,4.84,0.82,20.73,2.93,5.0946,90.13,18.94,1.6481,9.3488
COOPESANTOS,2023,2,21.26,1.73,33.16,75.99,27.36,15.01,5.26,0.71,21.46,2.45,5.889799999999999,90.08,18.85,1.61265,9.25275
COOPESANTOS,2023,3,21.38,1.1,58.595,80.39,28.39,16.43,6.04,0.69,21.75,4.9,5.4979,90.11,19.39,1.9468999999999999,9.513349999999999
COOPESANTOS,2023,4,22.3,1.03,64.695,78.95,28.72,17.57,4.86,0.68,22.62,4.09,5.71245,90.04,20.13,2.25525,9.66915
COOPESANTOS,2023,5,22.86,1.04,70.69,82.84,29.2,18.71,5.805,0.71,23.2,7.73,5.42415,90.05,21.14,2.1582,9.798
COOPESANTOS,2023,6,22.34,0.86,85.39500000000001,88.12,27.67,18.57,6.595,0.86,22.74,9.6,4.91475,90.05,21.18,2.4181,9.818999999999999
COOPESANTOS,2023,7,22.23,1.0,85.87,87.1,27.96,18.17,7.390000000000001,0.94,22.54,12.14,4.6342,90.09,20.98,2.472,9.7932
COOPESANTOS,2023,8,22.34,0.89,84.65,87.12,27.44,18.85,7.155,0.97,22.71,9.17,4.5809999999999995,90.06,21.09,2.36985,9.813600000000001
COOPESANTOS,2023,9,22.4,0.78,80.285,85.04,27.37,18.41,6.130000000000001,0.97,22.66,8.67,4.8351500000000005,90.04,20.92,2.2901,9.7939
COOPESANTOS,2023,10,21.81,1.03,88.89,92.46,26.63,18.59,6.9399999999999995,0.99,22.36,14.09,4.3345,90.03,21.08,2.2962,9.819949999999999
