id_Mes,mes,anho,empresa,tipoTarifa,descripcionTarifa,bloque,tarifaPromedio
7,Julio,2024,ESPH,T-RP,Tarifa residencial modalidad prepago,g. Bloque 361-500 kWh,5106.83
7,Julio,2024,ESPH,T-CO,COMERCIOS Y SERVICIOS,a. Consumo de Energía menor o igual a 3000 kWh,101.55
7,Julio,2024,ESPH,T-RP,Tarifa residencial modalidad prepago,j. Bloque mayor a 501 kWh,101.55
7,Julio,2024,ESPH,T-RE,RESIDENCIAL,j.b. Por consumo de energía (kWh),57.12
7,Julio,2024,JASEC,T-MTb,MEDIA TENSIÓN (T-MTb),d. Potencia Punta,3527.56
7,Julio,2024,JASEC,T-MTb,MEDIA TENSIÓN (T-MTb),c. Energía Noche,26.49
7,Julio,2024,JASEC,T-MTb,MEDIA TENSIÓN (T-MTb),e. Potencia Valle,2462.57
7,Julio,2024,JASEC,T-MTb,MEDIA TENSIÓN (T-MTb),f. Potencia Noche,1578.07
7,Julio,2024,ESPH,T-RE,RESIDENCIAL,a. Bloque 0-200 kWh,1495.84
7,Julio,2024,JASEC,T-MTb,MEDIA TENSIÓN (T-MTb),b. Energía Valle,41.28
7,Julio,2024,JASEC,T-MT,MEDIA TENSIÓN (T-MT),e. Potencia Valle,7421.59
7,Julio,2024,JASEC,T-MT,MEDIA TENSIÓN (T-MT),d. Potencia Punta,10350.21
7,Julio,2024,JASEC,T-MTb,MEDIA TENSIÓN (T-MTb),a. Energía Punta,120.1
7,Julio,2024,ESPH,T-RE,RESIDENCIAL,i. Bloque mayor a 501 kWh,8880.53
7,Julio,2024,JASEC,T-MT,MEDIA TENSIÓN (T-MT),f. Potencia Noche,5077.1
7,Julio,2024,ESPH,T-RE,RESIDENCIAL,h. Bloque 361-500 kWh,91.66
7,Julio,2024,ESPH,T-RE,RESIDENCIAL,g. Bloque 361-500 kWh,5106.83
7,Julio,2024,ESPH,T-RE,RESIDENCIAL,j.a.Por consumo de energía (kWh),8880.53
7,Julio,2024,ESPH,T-RE,RESIDENCIAL,j. Bloque mayor a 501 kWh,101.55
7,Julio,2024,ESPH,T-RE,RESIDENCIAL,c. Bloque 201-275 kWh,2912.94
7,Julio,2024,ESPH,T-RE,RESIDENCIAL,d. Bloque 201-275 kWh,74.68
7,Julio,2024,ESPH,T-RE,RESIDENCIAL,b. Bloque 0-200 kWh,69.48
7,Julio,2024,ESPH,T-RE,RESIDENCIAL,f. Bloque 276-360 kWh,82.73
7,Julio,2024,ESPH,T-RE,RESIDENCIAL,e. Bloque 276-360 kWh,3857.69
7,Julio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),i. Potencia Valle (Máxima),7483.99
7,Julio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),h. Potencia Punta (Mínimo),9944.89
7,Julio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),l. Potencia Noche (Mínimo),4447.56
7,Julio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),k. Potencia Noche (Máxima),4793.67
7,Julio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),j. Potencia Valle (Mínimo),6943.65
7,Julio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),c.Periodo Valle (máxima),24.54
7,Julio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),d.Periodo Valle (mínima),22.77
7,Julio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),f.Periodo Noche (mínimo),14.02
7,Julio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),g. Potencia Punta (Máxima),10718.78
7,Julio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),b.Periodo Punta (mínimo),61.29
7,Julio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),e.Periodo Noche (máxima),15.11
7,Julio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),h. Potencia Punta (Mínimo),3266.74
7,Julio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),g. Potencia Punta (Máxima),3520.96
7,Julio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),f.Periodo Noche (mínimo),24.55
7,Julio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),j. Potencia Valle (Mínimo),2280.49
7,Julio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),i. Potencia Valle (Máxima),2457.95
7,Julio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),a.Periodo Punta (máxima),119.89
7,Julio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),b.Periodo Punta (mínimo),111.23
7,Julio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),e.Periodo Noche (máxima),26.46
7,Julio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),c.Periodo Valle (máxima),41.19
7,Julio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),d.Periodo Valle (mínima),38.21
7,Julio,2024,ICE,T-RP,Tarifa residencial modalidad prepago,f. Bloque 196-250 kWh,94.07
7,Julio,2024,ICE,T-RP,Tarifa residencial modalidad prepago,g. Bloque 251-370 kWh,5027.07
7,Julio,2024,ICE,T-RP,Tarifa residencial modalidad prepago,h. Bloque 251-370 kWh,109.34
7,Julio,2024,ICE,T-RP,Tarifa residencial modalidad prepago,j. Bloque mayor a 371 kWh,127.11
7,Julio,2024,ICE,T-RP,Tarifa residencial modalidad prepago,i. Bloque mayor a 371 kWh,10101.88
7,Julio,2024,ICE,T-RP,Tarifa residencial modalidad prepago,b. Bloque 0-140 kWh,71.56
7,Julio,2024,ICE,T-RP,Tarifa residencial modalidad prepago,a. Bloque 0-140 kWh,1462.74
7,Julio,2024,ICE,T-RP,Tarifa residencial modalidad prepago,e. Bloque 196-250 kWh,4089.71
7,Julio,2024,ICE,T-RP,Tarifa residencial modalidad prepago,d. Bloque 141-195 kWh,80.92
7,Julio,2024,ICE,T-RP,Tarifa residencial modalidad prepago,c. Bloque 141-195 kWh,2758.32
7,Julio,2024,ICE,T-CS,PREFERENCIAL,b. Consumo de Energía cada kWh,64.66
7,Julio,2024,ICE,T-CS,PREFERENCIAL,a. Consumo de Energía menor o igual a 3000 kWh,108.05
7,Julio,2024,ICE,T-IN,INDUSTRIAL,c. Consumo de Potencia cada kW,12571.65
7,Julio,2024,ICE,T-CS,PREFERENCIAL,c. Consumo de Potencia cada kW,10685.89
7,Julio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),a.Periodo Punta (máxima),66.06
7,Julio,2024,ICE,T-CO,COMERCIOS Y SERVICIOS,b. Consumo de Energía cada kWh,76.07
7,Julio,2024,ICE,T-CO,COMERCIOS Y SERVICIOS,a. Consumo de Energía menor o igual a 3000 kWh,127.11
7,Julio,2024,ICE,T-CO,COMERCIOS Y SERVICIOS,c. Consumo de Potencia cada kW,12571.65
7,Julio,2024,ICE,T-IN,INDUSTRIAL,b. Consumo de Energía cada kWh,76.07
7,Julio,2024,ICE,T-IN,INDUSTRIAL,a. Consumo de Energía menor o igual a 3000 kWh,127.11
7,Julio,2024,CNFL,T-PR,PROMOCIONAL,c. Bloque mayor a 3000 kWh,72.51
7,Julio,2024,CNFL,T-PR,PROMOCIONAL,b. Bloque 0-3000 kWh,217530.0
7,Julio,2024,CNFL,T-CS,PREFERENCIAL,a. Consumo de Energía menor o igual a 3000 kWh,81.12
7,Julio,2024,CNFL,T-PR,PROMOCIONAL,a. Consumo de Energía menor o igual a 3000 kWh,120.47
7,Julio,2024,CNFL,T-PR,PROMOCIONAL,e. Bloque mayor a 8 kW,12088.0
7,Julio,2024,CNFL,T-PR,PROMOCIONAL,d. Bloque 0-8 kW,96704.0
7,Julio,2024,CNFL,T-IN,INDUSTRIAL,c. Bloque mayor a 3000 kWh,72.51
7,Julio,2024,CNFL,T-IN,INDUSTRIAL,b. Bloque 0-3000 kWh,217530.0
7,Julio,2024,CNFL,T-IN,INDUSTRIAL,a. Consumo de Energía menor o igual a 3000 kWh,120.47
7,Julio,2024,CNFL,T-IN,INDUSTRIAL,e. Bloque mayor a 8 kW,12088.0
7,Julio,2024,CNFL,T-IN,INDUSTRIAL,d. Bloque 0-8 kW,96704.0
7,Julio,2024,CNFL,T-MT,MEDIA TENSIÓN (T-MT),c. Energía Valle (Máxima),30.72
7,Julio,2024,CNFL,T-MT,MEDIA TENSIÓN (T-MT),b. Energía Punta (Mínimo),59.01
7,Julio,2024,CNFL,T-MT,MEDIA TENSIÓN (T-MT),f. Energía Noche (Mínimo),21.24
7,Julio,2024,CNFL,T-MT,MEDIA TENSIÓN (T-MT),d. Energía Valle (Mínimo),29.5
7,Julio,2024,CNFL,T-MT,MEDIA TENSIÓN (T-MT),e. Energía Noche (Máxima),22.12
7,Julio,2024,CNFL,T-CS,PREFERENCIAL,c. Bloque mayor a 3000 kWh,46.7
7,Julio,2024,CNFL,T-CS,PREFERENCIAL,b. Bloque 0-3000 kWh,140100.0
7,Julio,2024,CNFL,T-CS,PREFERENCIAL,e. Bloque mayor a 8 kW,7562.83
7,Julio,2024,CNFL,T-MT,MEDIA TENSIÓN (T-MT),a. Energía Punta (Máxima),61.45
7,Julio,2024,CNFL,T-CS,PREFERENCIAL,d. Bloque 0-8 kW,60502.64
7,Julio,2024,CNFL,T-REH,Residencial horaria,b. Bloque 0-500 KWh   Valle,67.65
7,Julio,2024,CNFL,T-REH,Residencial horaria,g. Bloque mayor a 500 KWh   Punta,204.03
7,Julio,2024,CNFL,T-REH,Residencial horaria,h. Bloque mayor a 500 KWh   Valle,82.35
7,Julio,2024,CNFL,T-REH,Residencial horaria,a. Bloque 0-500 KWh   Punta,165.01
7,Julio,2024,CNFL,T-REH,Residencial horaria,c. Bloque 0-500 KWh   Noche,28.3
7,Julio,2024,CNFL,T-RE,RESIDENCIAL,a. Bloque 0-30 kWh,2138.4
7,Julio,2024,CNFL,T-RE,RESIDENCIAL,d. Bloque mayor a 300 kWh,113.09
7,Julio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),l. Potencia Noche (Mínimo),1461.39
7,Julio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),k. Potencia Noche (Máxima),1575.11
7,Julio,2024,CNFL,T-RE,RESIDENCIAL,c. Bloque 201-300 kWh,109.39
7,Julio,2024,CNFL,T-RE,RESIDENCIAL,b. Bloque 31-200 kWh,71.28
7,Julio,2024,CNFL,T-CO,COMERCIOS Y SERVICIOS,a. Consumo de Energía menor o igual a 3000 kWh,120.47
7,Julio,2024,CNFL,T-CO,COMERCIOS Y SERVICIOS,b. Bloque 0-3000 kWh,217530.0
7,Julio,2024,CNFL,T-CO,COMERCIOS Y SERVICIOS,e. Bloque mayor a 8 kW,12088.0
7,Julio,2024,CNFL,T-CO,COMERCIOS Y SERVICIOS,c. Bloque mayor a 3000 kWh,72.51
7,Julio,2024,CNFL,T-CO,COMERCIOS Y SERVICIOS,d. Bloque 0-8 kW,96704.0
7,Julio,2024,CNFL,T-RP,Tarifa residencial modalidad prepago,a. Bloque 0-30 kWh,2138.4
7,Julio,2024,CNFL,T-REH,Residencial horaria,i. Bloque mayor a 500 KWh   Noche,38.12
7,Julio,2024,CNFL,T-RP,Tarifa residencial modalidad prepago,d. Bloque mayor a 300 kWh,113.09
7,Julio,2024,CNFL,T-RP,Tarifa residencial modalidad prepago,c. Bloque 201-300 kWh,109.39
7,Julio,2024,CNFL,T-RP,Tarifa residencial modalidad prepago,b. Bloque 31-200 kWh,71.28
7,Julio,2024,COOPEGUANACASTE,T-CO,COMERCIOS Y SERVICIOS,d. Bloque 0-10 kW,102182.5
7,Julio,2024,COOPEGUANACASTE,T-CO,COMERCIOS Y SERVICIOS,c. Bloque mayor a 3000 kWh,69.19
7,Julio,2024,COOPEGUANACASTE,T-CO,COMERCIOS Y SERVICIOS,e. Bloque mayor a 10 kW,10218.25
7,Julio,2024,COOPEGUANACASTE,T-IN,INDUSTRIAL,a. Consumo de Energía menor o igual a 3000 kWh,109.25
7,Julio,2024,COOPEGUANACASTE,T-IN,INDUSTRIAL,b. Bloque 0-3000 kWh,207570.0
7,Julio,2024,COOPEGUANACASTE,T-RP,Tarifa residencial modalidad prepago,a. Bloque 0-30 kWh,2221.5
7,Julio,2024,COOPEGUANACASTE,T-RP,Tarifa residencial modalidad prepago,b. Bloque 31-200 kWh,74.05
7,Julio,2024,COOPEGUANACASTE,T-CO,COMERCIOS Y SERVICIOS,b. Bloque 0-3000 kWh,207570.0
7,Julio,2024,COOPEGUANACASTE,T-CO,COMERCIOS Y SERVICIOS,a. Consumo de Energía menor o igual a 3000 kWh,109.25
7,Julio,2024,COOPEGUANACASTE,T-MT,MEDIA TENSIÓN (T-MT),d. Potencia Punta,4124.69
7,Julio,2024,COOPEGUANACASTE,T-MT,MEDIA TENSIÓN (T-MT),e. Potencia Valle,4124.69
7,Julio,2024,COOPEGUANACASTE,T-RP,Tarifa residencial modalidad prepago,c. Bloque mayor a 200 kWh,104.38
7,Julio,2024,COOPEGUANACASTE,T-MT,MEDIA TENSIÓN (T-MT),c. Energía Noche,70.41
7,Julio,2024,COOPESANTOS,T-RE,RESIDENCIAL,a. Bloque 0-40 kWh,3384.4
7,Julio,2024,COOPESANTOS,T-RE,RESIDENCIAL,b. Bloque 41-200 kWh,84.61
7,Julio,2024,COOPEGUANACASTE,T-IN,INDUSTRIAL,e. Bloque mayor a 10 kW,10218.25
7,Julio,2024,COOPEGUANACASTE,T-IN,INDUSTRIAL,d. Bloque 0-10 kW,102182.5
7,Julio,2024,COOPEGUANACASTE,T-IN,INDUSTRIAL,c. Bloque mayor a 3000 kWh,69.19
7,Julio,2024,COOPEGUANACASTE,T-MT,MEDIA TENSIÓN (T-MT),b. Energía Valle,78.91
7,Julio,2024,COOPEGUANACASTE,T-MT,MEDIA TENSIÓN (T-MT),a. Energía Punta,91.04
7,Julio,2024,COOPELESCA,T-MT69,TARIFA MEDIA TENSIÓN INTERCONECTADOS A BARRA DE 69 KV (T-MT69),a. Energía Punta (Máxima),81.53
7,Julio,2024,COOPEGUANACASTE,T-RE,RESIDENCIAL,c. Bloque mayor a 200 kWh,104.38
7,Julio,2024,COOPELESCA,T-MTb,MEDIA TENSIÓN (T-MTb),l. Potencia Noche (Mínimo),1160.59
7,Julio,2024,COOPELESCA,T-MT69,TARIFA MEDIA TENSIÓN INTERCONECTADOS A BARRA DE 69 KV (T-MT69),b. Energía Punta (Mínimo),77.22
7,Julio,2024,COOPELESCA,T-MT69,TARIFA MEDIA TENSIÓN INTERCONECTADOS A BARRA DE 69 KV (T-MT69),d. Energía Valle (Mínimo),38.6
7,Julio,2024,COOPELESCA,T-MTb,MEDIA TENSIÓN (T-MTb),h. Potencia Punta (Mínimo),2594.35
7,Julio,2024,COOPELESCA,T-MT69,TARIFA MEDIA TENSIÓN INTERCONECTADOS A BARRA DE 69 KV (T-MT69),c. Energía Valle (Máxima),40.77
7,Julio,2024,COOPELESCA,T-MTb,MEDIA TENSIÓN (T-MTb),j. Potencia Valle (Mínimo),1811.1
7,Julio,2024,COOPELESCA,T-MTb,MEDIA TENSIÓN (T-MTb),g. Potencia Punta (Máxima),2739.26
7,Julio,2024,COOPELESCA,T-MTb,MEDIA TENSIÓN (T-MTb),k. Potencia Noche (Máxima),1225.42
7,Julio,2024,COOPELESCA,T-MTb,MEDIA TENSIÓN (T-MTb),i. Potencia Valle (Máxima),1912.25
7,Julio,2024,COOPELESCA,T-MT69,TARIFA MEDIA TENSIÓN INTERCONECTADOS A BARRA DE 69 KV (T-MT69),l. Potencia Noche (Mínimo),1126.71
7,Julio,2024,COOPELESCA,T-MT69,TARIFA MEDIA TENSIÓN INTERCONECTADOS A BARRA DE 69 KV (T-MT69),k. Potencia Noche (Máxima),1189.62
7,Julio,2024,COOPELESCA,T-MT69,TARIFA MEDIA TENSIÓN INTERCONECTADOS A BARRA DE 69 KV (T-MT69),j. Potencia Valle (Mínimo),1730.29
