Mes,Año,Empresa,Tarifa,Abonados,Ventas,Ingreso sin CVG,Ingreso con CVG,Precio Medio sin CVG,Precio Medio con CVG,Trimestre,Sistema,Trimestral
9,2018,ESPH,MEDIA TENSIÓN A,10.0,2780147.48,215597756.0,216403180.0,77.55,77.84,III Trimestre,Distribucion,2018 3
9,2018,ICE,MEDIA TENSIÓN A,666.0,93138161.0,7392201912.0,7440306595.0,79.37,79.88,III Trimestre,Distribucion,2018 3
9,2018,JASEC,MEDIA TENSIÓN A,31.0,11808949.0,826896873.0,828586532.0,70.02,70.17,III Trimestre,Distribucion,2018 3
9,2018,ICE,MEDIA TENSIÓN B,1.0,5429448.0,350602890.0,352493091.0,64.57,64.92,III Trimestre,Distribucion,2018 3
9,2018,CNFL,PREFERENCIAL,2587.0,9494253.0,645744830.0,649688895.0,68.01,68.43,III Trimestre,Distribucion,2018 3
9,2018,COOPESANTOS,PREFERENCIAL,438.0,147201.0,20190997.0,20239249.0,137.17,137.49,III Trimestre,Distribucion,2018 3
9,2018,ESPH,PREFERENCIAL,706.0,2412173.0,159470370.0,160051766.0,66.11,66.35,III Trimestre,Distribucion,2018 3
9,2018,ICE,PREFERENCIAL,6826.0,12743557.0,857016617.0,862561324.0,67.25,67.69,III Trimestre,Distribucion,2018 3
9,2018,JASEC,PREFERENCIAL,641.0,1043541.0,69790073.0,70057379.0,66.88,67.13,III Trimestre,Distribucion,2018 3
9,2018,CNFL,PROMOCIONAL,41.0,912582.0,83791560.0,84303935.0,91.82,92.38,III Trimestre,Distribucion,2018 3
9,2018,CNFL,RESIDENCIAL,483350.0,113044577.0,9723194928.0,9782660640.0,86.01,86.54,III Trimestre,Distribucion,2018 3
9,2018,COOPEALFARORUIZ,RESIDENCIAL,6052.0,1234892.0,102688861.0,102180201.0,83.16,82.74,III Trimestre,Distribucion,2018 3
9,2018,COOPEGUANACASTE,RESIDENCIAL,65872.0,18345231.53,1426755370.0,1431298374.0,77.77,78.02,III Trimestre,Distribucion,2018 3
9,2018,COOPELESCA,RESIDENCIAL,83223.0,14536475.65,1116407438.0,1117653270.0,76.8,76.89,III Trimestre,Distribucion,2018 3
9,2018,COOPESANTOS,RESIDENCIAL,41323.0,5855416.0,533537125.0,534835210.0,91.12,91.34,III Trimestre,Distribucion,2018 3
9,2018,ESPH,RESIDENCIAL,74541.0,18895629.0,1423618248.0,1428886194.0,75.34,75.62,III Trimestre,Distribucion,2018 3
9,2018,ICE,RESIDENCIAL,683127.0,125684975.0,11505828008.0,11580862716.0,91.54,92.14,III Trimestre,Distribucion,2018 3
9,2018,JASEC,RESIDENCIAL,84138.0,20279419.0,1585993922.0,1593606291.0,78.21,78.58,III Trimestre,Distribucion,2018 3
9,2018,CNFL,RESIDENCIAL HORARIA,6827.0,3251767.0,278107475.0,280319970.0,85.53,86.21,III Trimestre,Distribucion,2018 3
9,2018,USUARIOS DIRECTOS,USUARIOS DIRECTOS,11.0,18012122.0,657898187.0,665349532.0,36.53,36.94,III Trimestre,Generacion,2018 3
9,2018,CNFL,VENTAS A ICE DISTRIBUCIÓN Y A LA CNFL,,284241452.0,15655646758.86,15816874460.71,55.08,55.65,III Trimestre,Generacion,2018 3
9,2018,ICE,VENTAS A ICE DISTRIBUCIÓN Y A LA CNFL,,340766130.0,18139112790.75,18325928062.41,53.23,53.78,III Trimestre,Generacion,2018 3
9,2018,COOPEALFARORUIZ,VENTAS AL SERVICIO DE DISTRIBUCIÓN,,1667290.0,90277619.96,91204498.35,54.15,54.7,III Trimestre,Generacion,2018 3
9,2018,COOPEGUANACASTE,VENTAS AL SERVICIO DE DISTRIBUCIÓN,,17381479.0,936165751.68,945788756.06,53.86,54.41,III Trimestre,Generacion,2018 3
9,2018,COOPELESCA,VENTAS AL SERVICIO DE DISTRIBUCIÓN,,9224861.0,444119433.34,448681277.29,48.14,48.64,III Trimestre,Generacion,2018 3
9,2018,COOPESANTOS,VENTAS AL SERVICIO DE DISTRIBUCIÓN,,5251872.0,290337566.79,293318410.92,55.28,55.85,III Trimestre,Generacion,2018 3
9,2018,ESPH,VENTAS AL SERVICIO DE DISTRIBUCIÓN,,30150796.0,1671435936.06,1688602084.14,55.44,56.01,III Trimestre,Generacion,2018 3
9,2018,JASEC,VENTAS AL SERVICIO DE DISTRIBUCIÓN,,36240794.0,1953533162.86,1973599989.48,53.9,54.46,III Trimestre,Generacion,2018 3
8,2018,CNFL,ALUMBRADO PÚBLICO,,7617964.54,483301490.24,483301490.24,63.44,63.44,III Trimestre,Distribucion,2018 3
8,2018,COOPEALFARORUIZ,ALUMBRADO PÚBLICO,,52081.79,2966883.05,2966883.05,56.97,56.97,III Trimestre,Distribucion,2018 3
8,2018,COOPEGUANACASTE,ALUMBRADO PÚBLICO,,621070.44,39680190.41,39680190.41,63.89,63.89,III Trimestre,Distribucion,2018 3
8,2018,COOPELESCA,ALUMBRADO PÚBLICO,,728407.44,45828272.33,45828272.33,62.92,62.92,III Trimestre,Distribucion,2018 3
8,2018,COOPESANTOS,ALUMBRADO PÚBLICO,,261041.77,15249660.18,15249660.18,58.42,58.42,III Trimestre,Distribucion,2018 3
8,2018,ESPH,ALUMBRADO PÚBLICO,,817250.87,50939246.66,50939246.66,62.33,62.33,III Trimestre,Distribucion,2018 3
8,2018,ICE,ALUMBRADO PÚBLICO,,10815754.92,678346233.1,678346233.1,62.72,62.72,III Trimestre,Distribucion,2018 3
8,2018,JASEC,ALUMBRADO PÚBLICO,,1106344.38,71314926.21,71314926.21,64.46,64.46,III Trimestre,Distribucion,2018 3
8,2018,CNFL,COMERCIOS Y SERVICIOS,70112.0,97115166.31,11111357456.0,11179509750.0,114.41,115.12,III Trimestre,Distribucion,2018 3
8,2018,COOPEALFARORUIZ,COMERCIOS Y SERVICIOS,604.0,360809.0,36425620.0,36850353.0,100.96,102.13,III Trimestre,Distribucion,2018 3
8,2018,COOPEGUANACASTE,COMERCIOS Y SERVICIOS,11990.0,16411803.32,1439526075.0,1444247760.0,87.71,88.0,III Trimestre,Distribucion,2018 3
8,2018,COOPELESCA,COMERCIOS Y SERVICIOS,11743.0,13678861.21,1259163034.0,1260546769.0,92.05,92.15,III Trimestre,Distribucion,2018 3
8,2018,COOPESANTOS,COMERCIOS Y SERVICIOS,3767.0,1610096.0,255416261.0,256026890.0,158.63,159.01,III Trimestre,Distribucion,2018 3
8,2018,ESPH,COMERCIOS Y SERVICIOS,10719.0,14420812.0,1202842653.0,1207347069.0,83.41,83.72,III Trimestre,Distribucion,2018 3
8,2018,ICE,COMERCIOS Y SERVICIOS,88718.0,68939983.0,7759028545.0,7809490067.0,112.55,113.28,III Trimestre,Distribucion,2018 3
8,2018,JASEC,COMERCIOS Y SERVICIOS,13250.0,12068047.0,1171557756.0,1177306908.0,97.08,97.56,III Trimestre,Distribucion,2018 3
8,2018,CNFL,INDUSTRIAL,1485.0,5840282.0,714887905.0,719259715.0,122.41,123.15,III Trimestre,Distribucion,2018 3
8,2018,COOPEALFARORUIZ,INDUSTRIAL,723.0,503833.0,52572418.0,53141499.0,104.34,105.47,III Trimestre,Distribucion,2018 3
8,2018,COOPEGUANACASTE,INDUSTRIAL,238.0,570960.02,59926062.0,60120487.0,104.96,105.3,III Trimestre,Distribucion,2018 3
8,2018,COOPELESCA,INDUSTRIAL,1754.0,3827228.86,360612996.0,361009524.0,94.22,94.33,III Trimestre,Distribucion,2018 3
8,2018,COOPESANTOS,INDUSTRIAL,234.0,165419.0,26838764.0,26902276.0,162.25,162.63,III Trimestre,Distribucion,2018 3
8,2018,ESPH,INDUSTRIAL,367.0,7431005.0,555566418.0,557654619.0,74.76,75.04,III Trimestre,Distribucion,2018 3
8,2018,ICE,INDUSTRIAL,3593.0,10254503.0,1189890889.0,1197634974.0,116.04,116.79,III Trimestre,Distribucion,2018 3
8,2018,JASEC,INDUSTRIAL,386.0,3488083.0,326658589.0,328228837.0,93.65,94.1,III Trimestre,Distribucion,2018 3
8,2018,CNFL,MEDIA TENSIÓN A,284.0,58584291.0,4891126880.0,4923697285.0,83.49,84.04,III Trimestre,Distribucion,2018 3
8,2018,COOPELESCA,MEDIA TENSIÓN A,9.0,5303505.6,442640544.0,443136577.0,83.46,83.56,III Trimestre,Distribucion,2018 3
8,2018,COOPESANTOS,MEDIA TENSIÓN A,7.0,470868.0,47230912.0,47344427.0,100.31,100.55,III Trimestre,Distribucion,2018 3
8,2018,ESPH,MEDIA TENSIÓN A,10.0,2920030.23,219701969.0,220522983.0,75.24,75.52,III Trimestre,Distribucion,2018 3
8,2018,ICE,MEDIA TENSIÓN A,663.0,96227660.0,7427670228.0,7476007849.0,77.19,77.69,III Trimestre,Distribucion,2018 3
8,2018,JASEC,MEDIA TENSIÓN A,30.0,12129939.0,839823004.0,843854155.0,69.24,69.57,III Trimestre,Distribucion,2018 3
8,2018,ICE,MEDIA TENSIÓN B,1.0,5681862.0,357665417.0,359586257.0,62.95,63.29,III Trimestre,Distribucion,2018 3
8,2018,CNFL,PREFERENCIAL,2576.0,9416981.0,642434200.0,646357860.0,68.22,68.64,III Trimestre,Distribucion,2018 3
8,2018,COOPESANTOS,PREFERENCIAL,437.0,138559.0,18843338.0,18888363.0,136.0,136.32,III Trimestre,Distribucion,2018 3
8,2018,ESPH,PREFERENCIAL,700.0,2270340.0,150444253.0,150992764.0,66.27,66.51,III Trimestre,Distribucion,2018 3
8,2018,ICE,PREFERENCIAL,6836.0,13095090.0,869345509.0,874970580.0,66.39,66.82,III Trimestre,Distribucion,2018 3
8,2018,JASEC,PREFERENCIAL,635.0,1052785.0,69726800.0,70068721.0,66.23,66.56,III Trimestre,Distribucion,2018 3
8,2018,CNFL,PROMOCIONAL,41.0,934947.0,83706705.0,84218580.0,89.53,90.08,III Trimestre,Distribucion,2018 3
8,2018,CNFL,RESIDENCIAL,482701.0,115145558.0,9937623752.0,9998280820.0,86.3,86.83,III Trimestre,Distribucion,2018 3
8,2018,COOPEALFARORUIZ,RESIDENCIAL,6055.0,1273476.0,105258151.0,105485489.0,82.65,82.83,III Trimestre,Distribucion,2018 3
8,2018,COOPEGUANACASTE,RESIDENCIAL,65818.0,19203645.49,1503647247.0,1508433067.0,78.3,78.55,III Trimestre,Distribucion,2018 3
8,2018,COOPELESCA,RESIDENCIAL,83039.0,14655491.12,1126452739.0,1127750367.0,76.86,76.95,III Trimestre,Distribucion,2018 3
8,2018,COOPESANTOS,RESIDENCIAL,41327.0,5823903.0,530676246.0,531967389.0,91.12,91.34,III Trimestre,Distribucion,2018 3
8,2018,ESPH,RESIDENCIAL,74424.0,19027577.0,1435150655.0,1440461772.0,75.42,75.7,III Trimestre,Distribucion,2018 3
8,2018,ICE,RESIDENCIAL,682412.0,126879278.0,11675097624.0,11751235313.0,92.02,92.62,III Trimestre,Distribucion,2018 3
8,2018,JASEC,RESIDENCIAL,84016.0,20417726.0,1596431836.0,1604537300.0,78.19,78.59,III Trimestre,Distribucion,2018 3
8,2018,CNFL,RESIDENCIAL HORARIA,6811.0,3274856.0,280986700.0,283426080.0,85.8,86.55,III Trimestre,Distribucion,2018 3
8,2018,USUARIOS DIRECTOS,USUARIOS DIRECTOS,11.0,18272832.0,657294217.0,664731738.0,35.97,36.38,III Trimestre,Generacion,2018 3
8,2018,CNFL,VENTAS A ICE DISTRIBUCIÓN Y A LA CNFL,,291568868.0,15830440107.88,15993508867.99,54.29,54.85,III Trimestre,Generacion,2018 3
